,summary,link,article,title,time
38,"Devonta Freeman
",https://heavy.com/sports/new-york-giants/2020/09/devonta-freeman-workout-visit-saquon-injury/?fbclid=IwAR3p_bC5wwbSghVJK46P2JG4m4zVCrCZQiCA9VtKe8IrxEJw1Q7yAeh05SY,"Slightly over two months ago, Bleacher Report’s Kristopher Knox urged the New York Giants to sign running back Devonta Freeman. Knox’s plea may have been a bit premature at the time. However, with star running back Saquon Barkley likely done for the season with a torn ACL, his vision may soon come to fruition.

NFL Network’s Ian Rapoport has reported that the Giants plan to bring in the ex-Atlanta Falcons starting running back Devonta Freeman for a workout. Freeman, who spent the weekend visiting an NFC East foe in the Philadelphia Eagles, “should be” visiting with Big Blue on Monday.

From @GMFB : The #Giants lost RB Saquon Barkley for the season with an ACL tear, based on initial tests, and they plan to bring in Devonta Freeman to see if the former #Falcons star replaces him. pic.twitter.com/4DEUVYuMgp

Freeman Still Offers Upside as a Dual-Threat Weapon

Freeman has endured a notable whirlwind offseason, which included rejecting a deal from the Seattle Seahawks earlier this spring. Since then, he reportedly threatened retirement and switched agents. He’s receiving a few bites but has left every visit without a contract, this after his new agent Drew Rosenhaus vowed to find Freeman employment by “late July.”

Despite the NFL’s reluctance to commit to Freeman, he’s still just 28-years-old and a viable enough talent to help an NFL roster. While he may no longer be the player who tied David Johnson for the lead-league in total touchdowns by a running back in 2015, Freeman’s multi-faceted skillset makes him a feasible placeholder for Barkley until 2021.

The former second-team All-Pro saw a downtick in his rushing prowess this past season, averaging just 3.6 yards per carry on the ground over his 14 games. With that said, he had averaged a far superior 4.53 ypc. over the five seasons prior. Not to mention, Freeman still remains one of the league’s better receiving backs, hauling in 59 receptions in 2019, ranked eighth-most amongst players at his position.

The Giants don’t have a clear answer to losing Barkley, who went down early in the second quarter of Sunday’s loss to the Chicago Bears. But then again, no team would. Offseason addition Dion Lewis tried his best to shoulder the load in Barkley’s absence in Week 2, yet mustered up a mere 20-rushing yards on 10 carries.

Wayne Gallman, the only other running back on the Giants’ current roster, was a healthy scratch on Sunday. Expect Gallman to be tossed into action this coming week against a battered San Francisco 49ers team. Gallman has shown himself capable of producing as a go-to option in spot situations, most notably a 118-yard, two-touchdown performance back in Week 4 of last season.

Despite the duo of Lewis and Gallman, the Giants will be on the search for reinforcements in the backfield, a search which may just so happen to end with them adding a former two-time Pro Bowler into the fold.",Giants Eyeing Ex-NFL TD Leader as Saquon Barkley Replacement: Report,2020-09-21 18:38:04
39,"6'7"" Jake Dolegala
",https://heavy.com/sports/new-england-patriots/2020/09/patriots-sign-qb-jake-dolegala/,"While he’s not going to push Cam Newton for the starting quarterback spot, its noticeable when the New England Patriots sign a 6-foot-7 quarterback.

Earlier this week, the Patriots inked giant Central Connecticut product, Jake Dolegala to a contract and added him to the team’s practice squad.

The Patriots have signed former Bengals QB Jake Dolegala to their practice squad. Quality move for the St. Francis High grad. — Tim Graham (@ByTimGraham) September 15, 2020

Newton, who is 6-foot-5, is one of the bigger quarterbacks in the league, but Dolegala might make him look a bit little small.

Follow the Heavy on Patriots Facebook page for the latest breaking news, rumors, and content!

Where Is Dolegala From?

Dolegala played for four years at Central Connecticut. As a senior in 2018, he completed 61% of his passes, threw for 2,221 yards and 16 touchdowns, and 6 interceptions. He wasn’t drafted in 2019, but was a part of the Cincinnati Bengals’ camp this year and in 2019 where he performed well.

During the 2019 preseason, Dolegala completed 37-of-61 passes for 347 yards and 2 touchdowns. There was some thought he could be a developmental prospect in Cincinnati, but once the team drafted Joe Burrow No. 1 overall in 2020, it was clear Dolegala was expendable, even as an option to supply depth.

The Patriots must have had an eye on him last year and in 2020 because they brought him in to be a part of the practice squad.

What Role Is He Going to Play on the Practice Squad?

For now, Dolegala is just on the practice squad to provide some depth. He is the only quarterback on the practice squad with the team having released Brian Lewerke. If for no other reason, Dolegala gives the Patriots a young player who can learn their system and continue to give wide receiver prospects like Devin Ross and Isaiah Zuber some work.

Could He Be a Developmental Quarterback?

With his height, strong arm and solid decision-making, Dolegala has some potential. However, he’d need to really show himself to be quite the quick study for him to make a big enough of a mark with the team to justify any level of security. To be honest, I’d be surprised if he was still a part of the team, in any capacity, by the end of the season.

Perhaps he’ll be a surprise and push Jarrett Stidham as the best young quarterback on the roster.

Also Read:",Patriots Sign QB Even Bigger Than Cam Newton,2020-09-18 19:46:10
40,Elisabet Gianna Gasol ,https://www.prosportsdaily.com/articles/pau-gasol-gives-newborn-daughter-meaningful-name-in-tribute-to-kobe-and-gianna-bryant-649449.html?fbclid=IwAR0zhB0AqNkl-bm67-h_1pyHG3Umg4JzUf0DhgP22bIPI5vAUiHJ8rnKMxo,"Pau Gasol gives newborn daughter meaningful name in tribute to Kobe and Gianna Bryant

Pau Gasol was incredibly close with Kobe Bryant, and he offered a reminder of just how close on Sunday.

Gasol and his wife Catherine welcomed a baby daughter this week. He shared the news on social media, along with what he called her “very meaningful name” in honor of Gianna Bryant, Kobe’s daughter.

13-year-old Gianna died with her father in a helicopter crash in Calabasas, Calif. on January 26.",Pau Gasol gives newborn daughter meaningful,2020-09-13 15:54:01
41,"Chiefs over Cowboys
",https://dailysnark.com/2020/09/09/espn-computer-runs-20000-simulations-predicts-this-seasons-super-bowl-teams-champion/,"Image via ClutchPoints

They call it any given Sunday for a reason. Unlike other major sports, the NFL has the ability to have surprise teams get hot and make it to the top (See Tennessee Titans last season).

Despite the almost unavailable parody, ESPN decided to run 20,000 compute simulations to try to weed out who they think will be hoisting the Lombardi Trophy come next February.

Via ESPN –

Each preseason, we run 20,000 simulations of the entire slate with ESPN’s Football Power Index (FPI), our projection system. A lot goes into it, including expected starting quarterback, past performance, returning starters and projected win totals. The culmination is a strength rating for all 32 teams that helps us predict outcomes.

But today, only one of those sims matters: No. 3,869. We played out that single result across every game, giving us tight division races, QB controversies, breakouts and of course a Super Bowl LV champion. We also baked in NFL analyst Mike Clay’s player projections to give us stat leaders throughout the season.

After extensive computer simulation, ESPN picked what they and the computers thought would be the most likely, and according to the findings, the Kansas City Chiefs will beat the Dallas Cowboys and repeat as Super Bowl Champions.

You can see ESPN’s finding HERE.","ESPN Computer Runs 20,000 Simulations, Predicts This Season’s Super Bowl Teams & Champion",2020-09-10 11:08:09
42,“Doom” ,https://nesn.com/2020/09/bill-belichick-nickname-from-bill-parcells-perfect-for-patriots-head-coach/,"NESN Logo Sign In

One could describe Bill Belichick in any number of ways.

He’s The Hoodie. The GOAT. A legend whose football acumen is renowned across the NFL.

But for some, a nickname given to Belichick early in his coaching career might perfectly encapsulate the New England Patriots’ head man.

Here’s an excerpt from “The Dynasty,” by Jeff Benedict, which The Athletic shared Wednesday in wake of the book’s publication:

One of Belichick’s nicknames was Doom. Bill Parcells had given it to him when Belichick was his defensive coordinator for the Giants. “We used to call him Doom because every time he walked around it was the end of the world,” ex-Giants linebacker Lawrence Taylor said. “‘Ah, you didn’t make this play.’ ‘Ah, you didn’t go over here.’ It was the end of the world.”

The nickname fit Belichick’s dour demeanor, which fed into his tendency to focus on and prepare for scenarios that most coaches overlooked. “Looking at the negative side and preparing for the negative has made him a better football coach, because he prepares for all of the things that can go bad,” said Patriots defensive coordinator Romeo Crennel. “And to tell you the truth, I think he kind of halfway liked the idea that people were calling him Doom because that way, he didn’t have to be nice to anybody.”

Benedict’s book goes on to describe the situation that existed when Drew Bledsoe went down with a scary injury in 2001, paving the way for Tom Brady to become New England’s starting quarterback.",Is This Old Bill Belichick Nickname Perfect For Patriots Head Coach?,2020-09-03 09:06:54
43,"Lymphoma 

https://www.yahoo.com/sports/clifford-robinsons-cause-death-revealed-021357784.html",https://www.yahoo.com/sports/clifford-robinsons-cause-death-revealed-021357784.html,"Former Trail Blazers big man Cliff Robinson died Saturday at the age of 53.

The 6-foot-10 big man played at UConn from 1985-89, where he helped the Huskies win the 1988 NIT. He was a second-round pick (36th overall) by the Trail Blazers in 1989 and spent the first eight years of his career in Portland. Uncle Cliffy helped the franchise reach the NBA Finals in 1990 and 1992 and was the 1993 NBA 6th Man of the Year. In 1994, while with the Trail Blazers, he made his first and only All-Star Game.

From 1989-97, Robinson averaged 16.2 points per game; and totaled 3,352 rebounds and 1,350 assists while in a Trail Blazers uniform.

On Saturday evening, the Robinson family released a statement, which included Uncle Cliffy's cause of death, Lymphoma:

Family of 18-year NBA vet Cliff Robinson releases statement to @TheAthleticNBA @Stadium, announcing he passed away due to yearlong battle with lymphoma. pic.twitter.com/3DWLnC8Twe — Shams Charania (@ShamsCharania) August 30, 2020

Lymphomas are clusters of tumors that originate from lymph node and lymphoid cells.

Robinson dealt with several medical issues over the past few years, including a brain hemorrhage in 2018.

It's been a tough year for me. Between a stroke and getting a tumor removed from my my jaw last week. I continue to stay positive. So if can do it,so can you. Please keep me in your prayers. Love you all! #encouragement #fighter #nba #Blazers #Prayers — Clifford Robinson (@UncleCliffy30) March 7, 2018

Despite all of the adversity, Robinson remained positive and the outpouring of support for Uncle Cliffy was palpable.

Story continues

The loss of Robinson at the age of 53 is tragic and Rip City mourns his passing.

Rest in peace, Cliff.

Clifford Robinson's cause of death revealed originally appeared on NBC Sports Northwest",Clifford Robinson's cause of death revealed,2020-08-31 09:27:22
44,"Game 1: Sept. 30
G2: Oct. 2
G3: Oct. 4
G4: Oct. 6
G5: Oct. 9
G6: Oct. 11
G7: Oct. 13
",https://nesn.com/2020/08/heres-when-2020-nba-finals-reportedly-will-take-place-inside-bubble/,"The dates for the 2020 NBA Finals reportedly (and tentatively) are set.

The league plans to start the Finals on Sept. 30 with Game 1, The Athletic’s Shams Charania reported Thursday afternoon. Charania noted that all dates are subject to be moved up by the NBA.

Here are the details:",Here’s When 2020 NBA Finals Reportedly Will Take Place Inside Bubble,2020-08-13 10:19:47
45,"Tweeted: All Players OPTING out in all sports PLEASE BELIEVE the game will go on without u. This is a business & don’t u EVER forget that. There’s NO ONE that’s bigger than the game itself. Only the ref,umps & officials are that important that u can’t play without them. NOT YOU! #Truth

",https://www.yardbarker.com/nfl/articles/deion_sanders_has_message_for_players_opting_out_of_sports/s1_127_32568365,"Sanders’ comments come a day after the final tally showed 69 NFL players opted out of playing this season. The New England Patriots topped the list with eight players choosing not to play. Some of the notable players who opted out include Nate Solder, Dont’a Hightower, Damien Williams, CJ Mosley and Star Lotulelei.

Sanders, 52, played both professional football and baseball during his career, and also ran track in college. He was a versatile, hard-working athlete, who was recognized as one of the best players in the league during his time in the NFL. He doesn’t shy away from uncomfortable conversations, which probably explains why he didn’t mind sending a tweet that would make some feel uncomfortable.",Deion Sanders has message for players opting out of sports,2020-08-07 20:07:29
46,Patriots had been keeping tabs on Newton since he was released by the Carolina Panthers in late March. ,https://nesn.com/2020/08/nfl-rumors-heres-when-patriots-first-reached-out-to-cam-newton/?fbclid=IwAR3G3yjF4V6rUKHrYFySlZZrl9PMdI-T5IOsHNEZVy585NWbtgwm023k6N0,"Cam Newton didn’t exactly fall into the Patriots’ lap.

In fact, Newton taking his talents to New England was long in the making.

Considering Newton lingered on the open market for roughly three months before being signed by the Patriots, many believed Bill Belichick and Co. took a flier on the veteran quarterback after seemingly no other team was willing to. But according to NFL Network’s Michael Giardi, the Patriots had been keeping tabs on Newton since he was released by the Carolina Panthers in late March.

“It’s clear there was a ton of interest between the Patriots and Cam Newton,” Giardi said. “The moment Newton was released, there was a phone call made immediately and then both sides did their due diligence. As you heard Belichick say, they felt comfortable enough to sort of create this union and obviously Cam felt the same.”

Not only were the Patriots able to land Newton on a discount, they also added a highly motivated player who will be entering somewhat of a “make or break” season. So despite what the Colin Cowherds of the world might say, New England’s investment in Newton could prove to look genius.",NFL Rumors: Here’s When Patriots First Reached Out To Cam Newton,2020-08-04 09:43:40
47,"Two of the cardboard cutouts of fans in the stadium are Chipper and his son Shea. It is unknown if Chipper was the one who paid for them.
",https://fansided.com/2020/07/24/chipper-jones-troll-new-york-mets-espn-season-opener/?a_aid=40030&fbclid=IwAR12fbFbDXqRbXc28M9oZguGdfwou3XdJbuNWzuNrl6QT3oC-XcOsfU_3J0,"You can always count on Chipper Jones finding a way to take jabs at the New York Mets

If you ask diehard New York Mets fans what their favorite moment was, they might bring up their 1969 and 1986 World Series championships. But deep down inside, Mets fans were ecstatic once team-killer and Atlanta Braves legend Chipper Jones finally retired from the MLB. Jones has fueled Mets fanatics dreams with nightmares, because he always found a way to play at his best in Queens, NY.

Even years after his retirement, Jones is still living rent free in the heads of the Mets. Do you need proof? Well, look no further than Jones having a cardboard cutout at Citi Field during the Braves’ regular season opener against the Mets.

Was Chipper responsible for this?

It’s unknown if Jones purchased the cardboard cutout to be seated front row at Citi Field. But whoever did it, we give you major props. This is an amazing troll job.

In Jones’ 19-year career, Jones always rose to the occasion once he went to battle against the Mets. Jones played 245 games against New York, and he managed to slash .309/.406/.543 while hitting 49 home runs and 159 RBI, per Baseball Reference.

Jones always loved playing the Mets on the road, specifically at the old Shea Stadium. He loved the old ballpark so much, that he named his son Shea, who just so happens to have a cardboard cutout at Citi Field alongside his old man!

Mets fans were looking forward to the start of the season, but now they’re getting mocked by the man they sarcastically called “Larry” every time he visited the Big Apple. Well, by a picture of Jones to be exact.",Chipper Jones continues to troll the New York Mets in season opener,2020-07-24 15:30:43
48,"Starts 9/12
Ends 5/23

",https://www.mirror.co.uk/sport/football/news/breaking-premier-league-202021-season-22411018?utm_source=facebook.com&utm_medium=social&utm_campaign=mirror_football,"The new campaign will kick off much later than usual as football continues to play catchup following the coronavirus crisis

The 2020/21 Premier League season will start on September 12, 2020 and end on May 23, 2021.

The 20 top-flight clubs gathered for their final shareholders' meeting of this season on Friday, with the final round of games taking place on Sunday.

A statement from the Premier League read: ""Premier League shareholders today agreed to start the 2020-21 Premier League season on September 12, 2020.

""The final match round of the campaign will take place on May 23, 2021. The Premier League will continue to consult the FA and EFL regarding the scheduling of all domestic competitions.""

The current campaign was forced into a three-month hiatus during the coronavirus pandemic, with matches resuming on June 17 with the majority of clubs facing the final nine matches of their season.

Image: PA) PA)

Across the course of these games, Liverpool have been crowned champions for the first time in Premier League history while Norwich City have been relegated.

The final two relegation places will be taken by two of Aston Villa, Watford and Bournemouth after the last round of games this weekend.

Leeds United have secured promotion to the Premier League after winning the Championship, with West Bromwich Albion going up in second place.

Image: STRINGER/EPA-EFE/REX/Shutterstock) STRINGER/EPA-EFE/REX/Shutterstock)

The final promotion place will be decided via the playoffs as usual, with Brentford, Fulham, Cardiff and Swansea all vying for a place in the Wembley final when they get underway this weekend.

When the Premier League season finishes on May 23 last year, then many players will have around a three-week break until the delayed Euro 2020 finals.

That is still scheduled to take place in venues across the continent between June 11 and July 11 next year.",Premier League 2020/21 season start and end dates confirmed,2020-07-24 07:03:34
49,"10,548 samples taken over the past week. 6 positives. ",http://dlvr.it/RbqgsK?fbclid=IwAR3gSxJ6uTSwelcC2g3xwjrDwoDqyHFcJzSSscVLw4_vu8dgtNMc7l14xTs,"Major League Baseball and the MLBPA issued a joint press release Friday to announce the latest COVID-19 test results from around the sport through July 16. For the most part, it’s encouraging news that should further pave the way for the regular season to start as scheduled July 23.

The league collected 10,548 samples over the past week, but just six (0.05 percent) returned as new positives. Five of those came from players, the other from a staff member. There was also a five-day period in which no new positives were reported.

To date, the league has collected 17,949 monitoring samples and 23 new positives (18 players, five staff members), which equals 0.1 percent. When combining ongoing monitoring testing and intake screening that began June 27, there have been 93 positive tests (80 players) among 21,701 samples, which translates to 0.4 percent. Twenty-eight of the league’s 30 teams have had at least one positive.","MLB, MLBPA Announce Latest COVID-19 Testing Results",2020-07-17 09:36:53
50,"Peyton Manning.

",https://www.cbssports.com/nfl/news/tom-brady-and-patrick-mahomes-beaten-out-by-retired-player-for-title-of-nflpas-top-royalty-earner-per-report/?fbclid=IwAR23EwVs2uAM6WRTxMwssuE1ILewQg38XDKKYncijWz1uPeVuKf6ktgkEEE,"Tom Brady and Patrick Mahomes both made a lot of money from royalties over the past year, but neither of them pulled in more than Peyton Manning, who earned more royalty money than everyone over the past year despite the fact that he's been retired since March 2016.

According to The Athletic, Manning pulled in a total of $3.36 million, making him the only player on the NFLPA's royalty list who cracked the $3 million mark last year. At this point, Manning could probably just live off his royalties if he wanted to.

The royalty numbers come from the NFL Players Association and the earnings only take into account the sales of things that the NFLPA licenses, such as jerseys, video games, and trading cards. Manning likely made millions from his Nationwide commercials and Brady likely made millions doing endorsements for companies like Aston Martin and UGGs, but those aren't included in the total since those companies don't sell NFLPA licensed merchandise.

The earnings year ended on February 29, 2020, which means the royalty totals covered all of the 2019 season. Manning has managed to stay popular, despite the fact that he hasn't played in an NFL game since winning Super Bowl 50, which took place in February 2016. Mahomes, this year's Super Bowl winning quarterback, pulled in a total of $2.78 million in royalties, which ranked third behind Brady, who pulled in $2.99 million.

There's a good chance that Brady will top this list next year, and that's because his jersey has been flying off the racks since March when he signed with the Tampa Bay Buccaneers.

Of the top 10 royalty earners, only six of them cracked the $2 million mark. Besides Manning, Brady and Mahomes, Dak Prescott ($2.56 million), Saquon Barkley ($2.34 million) and JuJu Smith-Schuster ($2.19 million) all pulled in more than $2 million in royalties. The highest ranked defensive player on the list was J.J. Watt, who pulled in just under $1 million.","Tom Brady and Patrick Mahomes beaten out by retired player for title of NFLPA's top royalty earner, per report",2020-07-08 16:05:48
51,It’s the number the team gave him. ,https://www.nbcsports.com/bayarea/sharks/sharks-tomas-hertl-explains-funny-simple-reason-why-he-wears-no-48,"Tomas Hertl has a huge year ahead of him. As he returns from ACL and MCL surgery, he and his wife Aneta are expecting the birth of their first child in November.

Sharks fans everywhere can't wait for No. 48 to get back on the ice. But how did he pick that number? It’s quite simple.

“They give it to me,” he wrote in a recent NHLPA questionnaire.

Enough said.

But before Hertl was the Sharks’ All-Star center, he had other aspirations.

Believe it or not, he wrote in the questionnaire that he wanted to be an architect if he wasn’t going to be a hockey player. But he was born to play hockey.

His dad, Jaroslav, during the winter in his native in Prague, would create nets (measuring the perfect size) on the frozen ponds near where he lived. Hertl’s dad would even kick off skaters if they were recreationally using the area where he wanted to play hockey.

[RELATED: Sharks avoid nightmare scenario in 2020 NHL Draft lottery]

As much as Hertl could have thrived as an architect, his career as a hockey star was destined.","Sharks' Tomas Hertl explains funny, simple reason why he wears No. 48",2020-07-07 17:39:57
